strategy_id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,test_return,test_sharpe,test_drawdown,test_trades,test_winrate,test_score,weight_MaxSharpe_MV_%,weight_MinVariance_MV_%,weight_MinCVaR_%,weight_MaxReturn_CVaRCap_%,weight_ScoreWeighted_%,weight_EqualWeight_%
bc174e47,bear,s62|s97|s49|s20|s86,5,0.07077,0.011341,35.203,0.0,-17.0013,72,25.0,11.5675,0.0,-9.776,24,25.0,0.044132,0.0,0.0832,0.0,0.0,0.5537,0.5376
19e68885,bear,s51|s20|s17|s89,4,0.052096,0.018335,24.6792,0.0,-11.4116,48,39.5833,7.9015,0.0,-6.9026,12,41.6667,0.032616,0.0,0.0832,0.0,0.0,0.4092,0.5376
23e55612,bear,s23|s81|s57|s22|s50,5,0.076229,0.008794,38.7587,0.0,-15.8336,63,22.2222,10.6816,0.0,-11.4991,24,20.8333,0.03395,0.0002,0.0832,0.0,0.0,0.4259,0.5376
5da612a3,bear,s66|s31|s23|s18|s98,5,0.064889,0.017949,32.2633,0.0,-20.794,58,32.7586,8.6546,0.0,-12.5719,22,31.8182,0.040637,0.0001,0.0832,0.0,0.0,0.5098,0.5376
21b1e3e1,bull,s7|s87|s48|s95,4,0.051684,0.014949,28.8237,0.0,-13.1318,52,36.5385,1.5428,0.0,-7.5346,13,30.7692,0.019727,0.0003,0.0832,0.0,0.0,0.2475,0.5376
fe5149af,bear,s22|s29|s20|s100|s98,5,0.045744,0.015233,28.9331,0.0,-23.1389,86,37.2093,1.5143,0.0,-9.3989,30,33.3333,0.046716,0.0003,0.0832,0.0,0.0,0.5861,0.5376
fcdfafba,bear,s18|s20|s23|s85,4,0.061354,0.016976,24.2352,0.0,-15.5028,72,31.9444,12.7564,0.0,-9.8278,24,33.3333,0.05834,0.0,0.0832,0.0,0.0,0.7319,0.5376
80b66e39,bear,s13|s89|s50|s81,4,0.067142,0.009882,37.1334,0.0,-16.1533,52,26.9231,8.1684,0.0,-11.3423,16,25.0,0.023567,0.0003,0.0832,0.0,0.0,0.2957,0.5376
146e5f40,bear,s76|s61|s81|s29|s66,5,0.069271,0.012682,35.1802,0.0,-13.0088,62,27.4194,6.5195,0.0,-13.6353,15,26.6667,0.019552,0.0003,0.0832,0.0,0.0,0.2453,0.5376
3a6ae166,bear,s76|s13|s81,3,0.071453,0.01454,38.8571,0.0,-16.1066,70,27.1429,1.4013,0.0,-10.9523,17,23.5294,0.014734,0.0007,0.0832,0.0,0.0,0.1848,0.5376
844f6621,bear,s28|s22|s20|s76|s86,5,0.062607,0.014604,35.151,0.0,-15.976,52,32.6923,0.028,0.0,-12.0545,16,25.0,0.012464,0.0006,0.0832,0.0,0.0,0.1564,0.5376
e94158a5,bull,s95|s53|s84|s73,4,0.07875,0.012065,48.7187,0.0,-12.703,40,30.0,1.309,0.0,-12.8413,10,20.0,0.005342,0.001,0.0832,0.0,0.0,0.067,0.5376
91f4137e,bear,s98|s20|s19|s81,4,0.048302,0.015337,32.6984,0.0,-13.0566,43,41.8605,0.1461,0.0,-10.8259,13,30.7692,0.015708,0.0005,0.0832,0.0,0.0,0.1971,0.5376
08841be4,bear,s13|s85|s23|s101,4,0.052321,0.014935,21.9535,0.0,-12.524,55,34.5455,11.161,0.0,-9.4183,19,36.8421,0.048228,0.0,0.0832,0.0,0.0,0.6051,0.5376
85c8a202,bull,s83|s36,2,0.059876,0.01575,32.5685,0.0,-15.3051,49,34.6939,1.8241,0.0,-10.343,14,28.5714,0.017355,0.0004,0.0832,0.0,0.0,0.2177,0.5376
9fb43ef1,bear,s101|s85|s67|s77|s23,5,0.05737,0.01787,24.5394,0.0,-17.9259,64,34.375,15.0518,0.0,-14.6696,20,40.0,0.054479,0.0,0.0832,0.0,0.0,0.6835,0.5376
f003e3b7,bear,s67|s23|s89|s29|s13,5,0.062148,0.015889,24.6023,0.0,-9.724,56,32.1429,8.6071,0.0,-11.2905,19,31.5789,0.036212,0.0,0.0832,0.0,0.0,0.4543,0.5376
ba58ae39,bear,s13|s72|s81|s76,4,0.066927,0.012686,35.1313,0.0,-12.9073,65,27.6923,2.1301,0.0,-9.7923,17,23.5294,0.016909,0.0005,0.0832,0.0,0.0,0.2121,0.5376
